tokenizer,batch_size,dataset,seed,n_sequences,exact_accuracy_pct,sbleu_mean,rougeL_mean,elapsed_sec
gpt2,64,discharge,0,64,60.9375,0.6326416719362502,0.6384245357355822,133.93235898017883
gpt2,64,discharge,1,64,65.625,0.6698205278683587,0.6736275337837838,132.10524582862854
gpt2,64,discharge,2,64,70.3125,0.7032963465351656,0.7064144736842105,131.29532670974731
gpt2,64,discharge,3,64,62.5,0.6524373620773675,0.6567797295548654,131.370845079422
gpt2,64,discharge,4,64,64.0625,0.6537356277756968,0.6574142156862745,130.66217064857483
gpt2,64,radiology,0,64,73.4375,0.7458576393763666,0.7486979166666666,124.42210578918457
gpt2,64,radiology,1,64,73.4375,0.7410900646294123,0.7453125,124.4863293170929
gpt2,64,radiology,2,64,67.1875,0.6828086285909718,0.6857638888888888,123.94538593292236
gpt2,64,radiology,3,64,65.625,0.6659639241226936,0.6792500864026859,123.09372329711914
gpt2,64,radiology,4,64,65.625,0.6634327813881138,0.6666666666666667,124.66411328315735
gpt2,128,discharge,0,128,37.5,0.41171057018089996,0.42471117331639435,360.2757451534271
gpt2,128,discharge,1,128,52.34375,0.5292964115450631,0.5363562939710769,360.52948689460754
gpt2,128,discharge,2,128,47.65625,0.4907092305369005,0.5003596791280616,360.3299126625061
gpt2,128,discharge,3,128,42.1875,0.45350921434953434,0.46465613262264793,360.1691544055939
gpt2,128,discharge,4,128,52.34375,0.545806186020817,0.557311268088082,359.41281270980835
gpt2,128,radiology,0,128,49.21875,0.5151391756204733,0.5251742975434275,333.61991596221924
gpt2,128,radiology,1,128,47.65625,0.5095289514378094,0.5206579762490088,334.35709381103516
gpt2,128,radiology,2,128,46.875,0.49003982355378034,0.5040367881602401,332.7312970161438
gpt2,128,radiology,3,128,46.09375,0.4867837873163847,0.49645192386834824,333.3864645957947
gpt2,128,radiology,4,128,45.3125,0.47217014050174555,0.47756046863189716,333.4717242717743
gpt2,256,discharge,0,256,25.0,0.2859529455830771,0.3047655528287016,898.2927186489105
gpt2,256,discharge,1,256,26.5625,0.3095706790179805,0.3270448696995773,898.3765158653259
gpt2,256,discharge,2,256,28.90625,0.32595957031313333,0.3431289235612969,897.9899306297302
gpt2,256,discharge,3,256,27.34375,0.29397691877646814,0.31308760335676905,898.5492959022522
gpt2,256,discharge,4,256,28.90625,0.339234518665195,0.35517595250354356,899.8827483654022
gpt2,256,radiology,0,256,28.90625,0.3294462982012464,0.3383523411030198,829.5907804965973
gpt2,256,radiology,1,256,26.171875,0.3011311131523053,0.32036413759162996,829.5831978321075
gpt2,256,radiology,2,256,29.6875,0.32410912141801057,0.33795232490341137,829.7437386512756
gpt2,256,radiology,3,256,25.0,0.29140387409741575,0.3097626493136796,598.2203285694122
gpt2,256,radiology,4,256,26.171875,0.30398237828192665,0.3166673353583336,428.9306437969208
