tokenizer,batch_size,dataset,seed,n_sequences,exact_accuracy_pct,sbleu_mean,rougeL_mean,elapsed_sec
llama2,64,discharge,0,64,60.9375,0.6211714931247484,0.6242891852770884,125.79716396331787
llama2,64,discharge,1,64,71.875,0.7189254526296527,0.7198275862068966,74.94292664527893
llama2,64,discharge,2,64,65.625,0.6695507966257886,0.6717614462209303,97.58191919326782
llama2,64,discharge,3,64,71.875,0.7367653785843922,0.7461345794905577,126.7548520565033
llama2,64,discharge,4,64,67.1875,0.685891186630567,0.6878314393939394,126.56111645698547
llama2,64,radiology,0,64,60.9375,0.6301643851609753,0.6360795454545454,118.45642590522766
llama2,64,radiology,1,64,73.4375,0.734375,0.734375,117.0602159500122
llama2,64,radiology,2,64,62.5,0.6373254774177518,0.6440463362068966,119.01305484771729
llama2,64,radiology,3,64,62.5,0.6256176700585422,0.6294642857142857,116.66416597366333
llama2,64,radiology,4,64,70.3125,0.7033939412469035,0.7044836956521738,117.18447685241699
llama2,128,discharge,0,128,47.65625,0.49349826275865066,0.5013887336016696,342.57619547843933
llama2,128,discharge,1,128,52.34375,0.5334553143872085,0.5425081866961257,344.3163740634918
llama2,128,discharge,2,128,46.09375,0.4829744206110252,0.48989863442988446,344.1148602962494
llama2,128,discharge,3,128,48.4375,0.5256916316520461,0.5372131799933524,344.0485112667084
llama2,128,discharge,4,128,47.65625,0.5021788292314715,0.5105115101245132,344.8373212814331
llama2,128,radiology,0,128,53.125,0.5395708715913491,0.5508654029793736,299.8528652191162
llama2,128,radiology,1,128,52.34375,0.5480865482297163,0.5562122096503831,299.38158774375916
llama2,128,radiology,2,128,50.0,0.5204964571956565,0.5335649828113063,299.3774654865265
llama2,128,radiology,3,128,43.75,0.4662993022446762,0.4779994073778936,300.58613443374634
llama2,128,radiology,4,128,51.5625,0.5275541564779014,0.5326108870967743,298.75687766075134
llama2,256,discharge,0,256,29.296875,0.318044738560633,0.3299561007692343,822.7274377346039
llama2,256,discharge,1,256,26.953125,0.3074150707611499,0.3223024446200495,828.2087454795837
llama2,256,discharge,2,256,27.34375,0.3005964896366888,0.3098162231790168,828.1937057971954
llama2,256,discharge,3,256,25.390625,0.28486842715287003,0.303314434390932,827.7131388187408
llama2,256,discharge,4,256,28.515625,0.30311271824218516,0.31498592983965,828.4086670875549
llama2,256,radiology,0,256,28.125,0.3073200796151027,0.32349480052278046,682.5632727146149
llama2,256,radiology,1,256,31.25,0.3364897906933908,0.3466717794949357,677.0709142684937
llama2,256,radiology,2,256,30.078125,0.33045970868984786,0.3434554774523792,678.6028604507446
llama2,256,radiology,3,256,21.875,0.27426167642084964,0.29875803800242573,680.3314607143402
llama2,256,radiology,4,256,26.5625,0.29524510576145374,0.31330897489647586,680.913361787796
