tokenizer,batch_size,dataset,seed,n_sequences,exact_accuracy_pct,sbleu_mean,rougeL_mean,elapsed_sec
gpt2,64,mimic_cxr,0,64,71.875,0.7213964152224351,0.7264625959079284,58.558478593826294
gpt2,64,mimic_cxr,1,64,78.125,0.7814040177566735,0.7829391891891893,56.75764465332031
gpt2,64,mimic_cxr,2,64,71.875,0.7189190928158482,0.7196969696969697,56.14317297935486
gpt2,64,mimic_cxr,3,64,84.375,0.8559721891042283,0.859375,55.850074768066406
gpt2,64,mimic_cxr,4,64,67.1875,0.6847355072662207,0.6860795454545454,56.416136026382446
gpt2,128,mimic_cxr,0,128,50.0,0.5195668423285145,0.5263872866584263,142.28480005264282
gpt2,128,mimic_cxr,1,128,45.3125,0.47562658764609067,0.4914712467694151,142.09310173988342
gpt2,128,mimic_cxr,2,128,51.5625,0.5221407533781927,0.5237556561085972,142.29596376419067
gpt2,128,mimic_cxr,3,128,50.0,0.5308538803528088,0.5383753976609047,142.4561710357666
gpt2,128,mimic_cxr,4,128,52.34375,0.5428924309925487,0.5492471957951608,141.3528344631195
gpt2,256,mimic_cxr,0,256,30.078125,0.3244385285770732,0.33443770381341176,378.0678427219391
gpt2,256,mimic_cxr,1,256,25.0,0.2823413504649328,0.29690362616398813,377.97860074043274
gpt2,256,mimic_cxr,2,256,26.953125,0.30211295098379637,0.31814455786893603,378.5131666660309
gpt2,256,mimic_cxr,3,256,30.078125,0.3325132956437376,0.3404328903421345,379.0129551887512
gpt2,256,mimic_cxr,4,256,31.25,0.3398944031459973,0.35033536388585546,248.42672896385193
