tokenizer,batch_size,dataset,seed,n_sequences,exact_accuracy_pct,sbleu_mean,rougeL_mean,elapsed_sec
llama2,64,mimic_cxr,0,64,73.4375,0.7345815304316622,0.7354910714285714,19.64968729019165
llama2,64,mimic_cxr,1,64,71.875,0.7308813654664257,0.7353583916083917,40.24819302558899
llama2,64,mimic_cxr,2,64,56.25,0.5757919639364698,0.5780780780780781,55.213828802108765
llama2,64,mimic_cxr,3,64,71.875,0.7352928515465577,0.7433490915832406,54.236515522003174
llama2,64,mimic_cxr,4,64,68.75,0.7017345311477732,0.7048295454545455,52.03313684463501
llama2,128,mimic_cxr,0,128,50.0,0.516857788954837,0.5284124425206227,125.91263127326965
llama2,128,mimic_cxr,1,128,56.25,0.570605106480339,0.5748487903225806,128.36608338356018
llama2,128,mimic_cxr,2,128,43.75,0.45559873736469547,0.46666775112342374,128.5756015777588
llama2,128,mimic_cxr,3,128,50.78125,0.5308636034402192,0.5354083367217854,128.61020231246948
llama2,128,mimic_cxr,4,128,46.875,0.48165294991473434,0.48881477724919226,128.39763069152832
llama2,256,mimic_cxr,0,256,29.296875,0.3154736947946236,0.3254389640714668,349.1876747608185
llama2,256,mimic_cxr,1,256,33.59375,0.3522644408625162,0.358163834860013,353.280216217041
llama2,256,mimic_cxr,2,256,28.125,0.3022755041103733,0.31564812242028356,353.01593136787415
llama2,256,mimic_cxr,3,256,28.125,0.3127312870481863,0.3253670346431535,353.23109889030457
llama2,256,mimic_cxr,4,256,28.515625,0.3191297245724182,0.33303928985648673,353.59716844558716
