tokenizer,batch_size,dataset,seed,n_sequences,exact_accuracy_pct,sbleu_mean,rougeL_mean,elapsed_sec
radbert,64,mimic_cxr,0,64,67.1875,0.6720551339585303,0.672883064516129,57.981555700302124
radbert,64,mimic_cxr,1,64,71.875,0.7197570196193479,0.72265625,42.699246644973755
radbert,64,mimic_cxr,2,64,68.75,0.6973599933973034,0.7022321428571429,23.618261337280273
radbert,64,mimic_cxr,3,64,67.1875,0.6722473501963321,0.6744791666666666,54.30722784996033
radbert,64,mimic_cxr,4,64,62.5,0.6408719754000906,0.6504697712418301,53.925150871276855
radbert,128,mimic_cxr,0,128,49.21875,0.5088508743271996,0.5189989723172069,137.2307846546173
radbert,128,mimic_cxr,1,128,45.3125,0.4747580292767945,0.4824859881941535,138.09489965438843
radbert,128,mimic_cxr,2,128,46.875,0.48362251221947444,0.49309543081802565,137.95946955680847
radbert,128,mimic_cxr,3,128,51.5625,0.5230022688653471,0.531003573972324,138.01654267311096
radbert,128,mimic_cxr,4,128,51.5625,0.5233529512074108,0.5315978515654873,137.95067381858826
radbert,256,mimic_cxr,0,256,32.8125,0.3401253095984372,0.3465294106773144,375.40212655067444
radbert,256,mimic_cxr,1,256,28.515625,0.31290850552335797,0.323449987076927,376.3785264492035
radbert,256,mimic_cxr,2,256,27.34375,0.30855520752703286,0.32556342274069744,376.1713421344757
radbert,256,mimic_cxr,3,256,29.6875,0.3294965623847834,0.3436205760275771,376.5169472694397
radbert,256,mimic_cxr,4,256,25.78125,0.2894273077556331,0.3043510666186166,319.2937822341919
